Partlist exported from /Users/jeffw/Documents/Codeshelf/Engineering/CAD/Codeshelf-0005/Codeshelf-0005.v02.sch at 11/26/13 8:45 PM

Qty	MfgPartNum	MfgName	MfgPrice	Value	Device	Package	Notes	Parts	
2					M03PTH	1X03		J5-LCD-3V3, J6-LCD-5V	
1				CODESHELF-LOGO	CODESHELF-LOGO	CODESHELF-LOGO	DNP	LOGO	
1				HEADER-2X-2.54MM	HEADER-2X-2.54MM	HEADER-2X-RA-2.54MM		J5	
2				JUMPER-2X-SMT-VIA	JUMPER-2X-SMT-VIA	JUMPER-VIA-2X		JF1, JF2	
1				LCD-SPARKFUN	LCD-SPARKFUN20X4	LCD-20X4-SPARKFUN		LCD	
1				M02PTH	M02PTH	1X02		J3-WAKE	
1				M05X2PTH	M05X2PTH	AVR_ICSP		J1	
2	54602-908LF	FCI	0.57	RJ45-8PTH	RJ45-8PTH	RJ45-8		J2, J4	
3	C0603C101K5RACTU	Kemet		100pF	RF-C0603	C0603		C1, C3, C4	
1	C0603C102K4RACTU	Kemet		1nF	RF-C0603	C0603		C2	
1	C3225X5R0J107M250AC	TDK	1.15	100uF	RF-C1210	C1210K		COUT1	
1	C3225X5R1A476M250AC	TDK	1.03	47uF	RF-C1210	C1210K		CIN	
1	CC0805JRNPO9BN680	Yageo	0.05	68pF	RF-C0805	C0805		CCOMP	
1	CC0805KRX7R9BB272	Yageo	0.03	2.7nF	RF-C0805	C0805		CSS	
1	CD54NP-470LC	Sumida	0.68	47uH	INDUCTORCR54	CR54		L2	
1	CRCW04024K64FKED	Vishay	0.05	4.64K	RF-R0402	RF-R0402		RCOMP	
1	CRCW040245K3FKED	Vishay	0.04	45.3K	RF-R0402	RF-R0402		RFB1	
1	CRCW0402143KFKED	Vishay	0.05	143K	RF-R0402	RF-R0402		RFB2	
2	ERJ-2GEJ100X	Panasonic	0.02	10	RF-R0402	RF-R0402		R.ACT.B, R.ACT.G	
1	ERJ-2GEJ103X	Panasonic	0.02	10K	RF-R0402	RF-R0402		REN2	
1	ERJ-2GEJ104X	Panasonic		100K	RF-R0402	RF-R0402		R1	
1	ERJ-2GEJ121X	Panasonic	0.02	120	RF-R0402	RF-R0402		R-T	
1	ERJ-2GEJ223X	Panasonic	0.2	22K	RF-R0402	RF-R0402		REN1	
1	ERJ-2GEJ224X	Panasonic		220	RF-R0402	RF-R0402	DNP	R2	
1	ERJ-2GEJ394X	Panasonic		390	RF-R0402	RF-R0402	DNP	R3	
1	ERJ-2GEJ680X	Pansonic	0.02	68	RF-R0402	RF-R0402		R.ACT.R	
5	GRM155R61C104KA88D	Murata	0.03	.1uF	RF-C0402	C0402		C5, C6, C7, C8, C9	
1	LM2854MH-1000/NOPB	TI	4.72	LM2854MH	LM2854MH	HTSSOP16PWP		U-P1	
1	MAX232DR	TI	0.86	MAX232SOIC16	MAX232SOIC16	SO016		U2	
1	MBRA140T3G	On Semi	0.47	MBRA140	DIODESMA	SMA-DIODE		D3	
2	MIC94061YC6 TR	Micrel	1.50	MIC94061C6	MIC94061C6	SC70-6L		U5, U6	
1	NCP1402SN50T1G	On Semi	0.63	NCP1402	V_REG_NCP1400SOT23-5	SOT23-5		U-P3	
1	NTD20P06LT4G	On Semi		PCHANNEL-MOSFET-DPAK	PCHANNEL-MOSFET-DPAK	DPAK		U-P2	
1	Q62702P5182	OSRAM		RED	LEDCHIP-LED0805	CHIP-LED0805	DNP	D1	
1	Q65110P5179	OSRAM		GREEN	LEDCHIP-LED0805	CHIP-LED0805	DNP	D2	
1	SLF10165T-1R5N6R83PF	TDK	1.23	150uH	INDUCTOR-SMD-UNUSUAL-SLF10165	SLF10165		L1	
1	SMP6-RGB	BiVar	0.25	LED5060A	LED5060A	PLCC-6		LED-ACTION	
1	SN65HVD1781DR	TI	3.86	RS485SOIC	RS485SOIC	SO08		U3	
1	T491A106K016AT	Kemet	0.36	10uF	CAP_POL1206	EIA3216		C10	
1	TR3B686K010C0600	Vishay	1.13	68uF	CAP_POL3528	EIA3528		C11	
1	ULN2003ADR	TI	0.18	ULN2003AD	ULN2003AD	SO16		U4	
1	ZFSM-201-1C	CEL	29.00	ZSFM201-1A	ZSFM201-1A	ZSFM201-1		U1	
