Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "GW0015.v1.r02.brd" as of: 7/31/2014 12:18:37 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.161,1.870,90
C2,Top,1.102,1.870,90
C3,Top,0.885,1.265,0
C4,Top,0.984,1.870,180
C5,Top,1.476,2.067,90
C6,Top,0.138,0.689,180
C7,Top,0.354,1.496,270
C8,Top,0.433,1.516,270
C9,Top,0.512,1.516,270
C10,Top,0.138,0.492,180
C11,Top,1.594,0.787,0
IC1,Top,0.925,1.555,0
L1,Top,0.354,1.693,90
R1,Top,0.197,0.591,270
RT1,Top,0.157,1.713,0
U$1,Top,0.906,1.181,180
