"Part";"Value";"Device";"Package";"Description";"MFGN";"MFGP";"NOTES";"PRICE";
"BDM";"TP2X4SMD";"TP2X4SMD";"SMD4X2";"";"";"";"DNP";"";
"C1";".1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"Murata";"GRM155R61A104KA01D";"";"0.02";
"C2";".1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"Murata";"GRM155R61A104KA01D";"";"0.02";
"J1-PROG";"RJ45-8";"RJ45-8";"MOLEX-0955016649";"RJ45 Jack";"Molex";"0955016649";"";"0.89";
"J2";"RJ45-8";"RJ45-8";"MOLEX-0955016649";"RJ45 Jack";"Molex";"0955016649";"";"0.89";
"LED1";"7SEGMENT-1DIGITSMD";"7SEGMENT-1DIGITSMD";"7SEGMENT-1DIG-.40-SMD";"";"";"";"DNP";"";
"LED2";"7SEGMENT-1DIGITSMD";"7SEGMENT-1DIGITSMD";"7SEGMENT-1DIG-.40-SMD";"";"";"";"DNP";"";
"R.D2A";"RESISTOR-ARRAY-4X-3216";"RESISTOR-ARRAY-4X-3216";"3216-4X";"";"Yageo";"YC164-JR-07120RL";"";"0.006";
"R.D2B";"RESISTOR-ARRAY-4X-3216";"RESISTOR-ARRAY-4X-3216";"3216-4X";"";"Yageo";"YC164-JR-07120RL";"";"0.006";
"R.D2C";"RESISTOR-ARRAY-4X-3216";"RESISTOR-ARRAY-4X-3216";"3216-4X";"";"Yageo";"YC164-JR-07120RL";"";"0.006";
"R.D2D";"RESISTOR-ARRAY-4X-3216";"RESISTOR-ARRAY-4X-3216";"3216-4X";"";"Yageo";"YC164-JR-07120RL";"";"0.006";
"R1";"3.3K";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"Panasonic";"ERJ-2GEJ332X";"";"0.02";
"R5";"10K";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"Panasonic";"ERJ-2GEJ103X";"";"0.02";
"R6";"10K";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"Panasonic";"ERJ-2GEJ103X";"";"0.02";
"SW-ACK";"SWITCH-TACTILE-320.01E11WHT";"SWITCH-TACTILE-320.01E11WHT";"SWITCH-TACTILE-320.01E11WHT";"";"ESwitch";"320.01E11WHT";"";"";
"U$3";"SWITCH-TACTILE";"SWITCH-TACTILE";"ESWITCH-TL3301PF";"";"";"";"DNP";"";
"U$4";"SWITCH-TACTILE";"SWITCH-TACTILE";"ESWITCH-TL3301PF";"";"";"";"DNP";"";
"U$5";"WS2812";"WS2812";"PLCC-6";"";"Worldsemi";"WS2812";"";"";
"U1";"MC9S08QG-DT";"MC9S08QG-DT";"TSSOP16";"";"Freescale";"MC9S08QG8CDTER";"";"1.73";
"U3";"RS485SOIC";"RS485SOIC";"SO08";"";"TI";"SN65HVD1781DR";"";"4.29";
"U4";"PCA9552";"PCA9552";"TSSOP24";"";"NXP";"PCA9552";"";"2.67";
